texto,label,label_num
"dor no pulmão moderada, febre leve",MODERADO,1
"dor intensa na cabeça, febre moderada há 4 horas",MODERADO,1
infecção no olho com dor intensa,MODERADO,1
dor de garganta leve e inconstante,LEVE,0
"dor moderada no tornozelo, inchaço leve",MODERADO,1
"dor abdominal moderada no lado esquerdo, sem rigidez",MODERADO,1
"tontura ao levantar, pressão baixa leve",MODERADO,1
perda de consciência após colisão de veículos,URGENTE,2
"convulsões contínuas, alteração de consciência",URGENTE,2
"dor no ouvido esquerdo, inchaço moderado",MODERADO,1
"pequena erupção na pele, sem febre",LEVE,0
paciente apresenta sibilância nas vias aéreas,URGENTE,2
"dor localizada no pescoço, dificuldade de respirar",MODERADO,1
"convulsão ativa há mais de 2 minutos, não cede",URGENTE,2
"formigamento nas pernas, além da dor moderada",MODERADO,1
dor de cabeça leve e passagera,LEVE,0
"dificuldade respiratória, lábios azulados",URGENTE,2
febre leve após exposição ao sol,LEVE,0
um leve prurido na face,LEVE,0
azia leve após refeição gordurosa e leve diarreia,LEVE,0
"leve irritação nas membranas oculares, lágrimas excessivas",LEVE,0
"convulsão: convulsões ativas, não cede",URGENTE,2
"leve dores no peito, sem dificuldade respiratória",LEVE,0
infecção urinária com dor moderada ao urinar,MODERADO,1
"dor no rosto, febre alta",MODERADO,1
infecção no nariz com dor moderada,MODERADO,1
"dor intolerável na região torácica, possivel AVC",URGENTE,2
"reação alérgica moderada: urticária sem inchaço na garganta, queixa de pele áspera",MODERADO,1
"sudorese excessiva, dor muscular intensa",URGENTE,2
"dor no ombro, falta de ar moderada",MODERADO,1
"dor intensa no peito com irradiação para o braço esquerdo, sudorese fria",URGENTE,2
"dor de cabeça leve, sem febre, sem rigidez de nuca",LEVE,0
dor leve no pé esquerdo após andar por muito tempo,LEVE,0
"mal estar geral, febre alta",MODERADO,1
"bebê sem respirar, coloração arroxeada",URGENTE,2
"febre leve de 37.8°C há 24 horas, dor no peito",MODERADO,1
"dor abdominal intenso, alongamento do peito e dificuldade em respirar",URGENTE,2
"dor intensa no lombar, formigamento",MODERADO,1
"dor na garganta, queixa de dificuldade de deglutição, febre alta",MODERADO,1
ingestão de medicamentos em excesso e agitado,URGENTE,2
"fraqueza repentina, fala embaralhada, sintomas de AVC",URGENTE,2
irritação leve no olho esquerdo,LEVE,0
sangramento nasal intenso e freqüente,URGENTE,2
dor de estômago leve após refeição,LEVE,0
coceira leve em algumas partes do corpo,LEVE,0
"formigamento no peito, febre moderada",MODERADO,1
"dor na garganta, mal estar",MODERADO,1
"bebê não respirando, cor poeira",URGENTE,2
"leve inchaço na mão direita, sem dor ou dificuldade na mobilidade",LEVE,0
febre leve e intermitente,LEVE,0
"dor intensa na boca, dificuldade em faltar falar",URGENTE,2
"vômitos repetidos há 6 horas, sem sangue, ainda consciente e hidratado",MODERADO,1
"dor abdominal recorrente, diarreia",MODERADO,1
"tontura e náusea, leve desconforto na região do fígado",MODERADO,1
dor moderada em algum membro do corpo,MODERADO,1
"cansaço persistente, dor geralizada",MODERADO,1
"dor no colo moderada, febre de 38°C, dificuldade em masticar",MODERADO,1
fadiga após esforço físico ou mental prolongado,LEVE,0
um leve espirro e dor de garganta noturna,LEVE,0
"dor aguda no peito, dificuldade de respirar",URGENTE,2
"dor de cabeça intolerável, com febre de 38°C",MODERADO,1
dor muscular leve após jogo de xadrez,LEVE,0
"fraqueza súbita no lado direito do corpo, fala embaralhada, suspeita de AVC",URGENTE,2
"queimadura grande na cara, dor extremamente aguda",URGENTE,2
"bebê não respirando, coloração clamorosa",URGENTE,2
"fraqueza repentina no lado direito do corpo, fala embaralhada, inchaço na garganta, dificuldade para respirar",URGENTE,2
"sangramento intenso após acidente: pressão não controlada, sangue intenso",URGENTE,2
"tontura ao levantar, dificuldade em andar",MODERADO,1
"coceira leve nas mãos, sem inchaço",LEVE,0
"pequena manchinha na roupa de um canto, pode ser uma raspurada leve",LEVE,0
"dor muscular leve, espirros, pequeno inchaço na perna",LEVE,0
"febre de 38°C, dor no pescoço",MODERADO,1
dor muscular leve após exercício intenso,LEVE,0
"trauma grave, dor intensa, perda de consciência",URGENTE,2
cansaço após esforço moderado,LEVE,0
"sangramento intenso de nariz, não controlado com pressão",URGENTE,2
dor de ouvido intensa com febre alta de 39°C,MODERADO,1
"trauma grave na cabeça, vômitos em jato",URGENTE,2
"paciente apresenta perda de consciência, vômitos em jato",URGENTE,2
queimadura em mais de 20% do corpo ou em face/vias aéreas,URGENTE,2
um leve cansaço após esforço,LEVE,0
"sintomas de AVC: fraqueza no lado direito, falar embaralhada",URGENTE,2
"dor intensa no peito, alongamento do braço esquerdo",URGENTE,2
"dor abdominal intensa, com abdome rígido",URGENTE,2
"dor abdominal intolerável, vômitos",URGENTE,2
"dor no peito, dificuldade de respirar",URGENTE,2
"coceira leve, mais intenso em uma zona específica da pele",LEVE,0
"obstrução vias aéreas: dificuldade respirar, suspirações curto-espaciadas",URGENTE,2
"dor persistente no dedo do polegar, sem inchaço",MODERADO,1
"pressão ligeiramente alta, dificuldade em respirar",MODERADO,1
dor persistente no ouvido esquerdo,MODERADO,1
"estomago levemente chato, indigestão após comida gorda",LEVE,0
sangramento intenso e incontrolável em região corporal,URGENTE,2
"dificuldade em respirar, com inchaço na garganta",URGENTE,2
cansaço após esforço físico moderado do dia anterior,LEVE,0
dor leve na garganta após comer algodão,LEVE,0
"ingestão de medicamentos em excesso, sintomas de intoxicação",URGENTE,2
"perda de consciência repentina, queda súbita",URGENTE,2
"paciente desmaiou repentinamente, não responde a estímulos, perda de consciência",URGENTE,2
"espirros, falta de energia",LEVE,0
sangramento intenso após trauma,URGENTE,2
sangramento incontrolável após ferimento,URGENTE,2
"dificuldade de respirar, reação alérgica",URGENTE,2
"coceira leve na pele, sem inchaço ou dificuldade respiratória",LEVE,0
"trauma grave em coluna vertebral, incapacidade de andar",URGENTE,2
"perda repentina de consciência, não responde a chamadas",URGENTE,2
"sensação de tontura na cabeça, febre moderada",MODERADO,1
reação alérgica grave: inchaço na garganta e dificuldade respiratória,URGENTE,2
reação alérgica moderada: urticária sem inchaço,MODERADO,1
"reação alérgica grave: inchaço na garganta, dificuldade para respirar",URGENTE,2
"dor intensa na cabeça, vômitos e perda de consciência",URGENTE,2
"dor na articulação, sem dificuldade de movimento",LEVE,0
corte profundo que não para de sangrar após 10 minutos de pressão,MODERADO,1
"dor na garganta moderada, dificuldade para engolir",MODERADO,1
"dor abdominal, acompanhada de vômitos, sem sangue",MODERADO,1
"dificuldade em respirar normalmente, pressão baixa, cor do rosto avermelhada",MODERADO,1
"choque: baixo pressão súbita, frieza, sudorese fria",URGENTE,2
"queimadura em cerca de 25% do corpo, gravíssima",URGENTE,2
"dor de dente leve, localizada em uma determinada fissura",LEVE,0
um leve espirro e dor de garganta intensa,LEVE,0
dor muscular ligeira após exercício leve,LEVE,0
"dor de garganta, febre baixa",MODERADO,1
"dor lombar moderada, formigamento",MODERADO,1
"convulsão ativa no paciente, não cede",URGENTE,2
"febre de 38°C há 16 horas, dor na garganta moderada",MODERADO,1
"paciente apresenta grande dor abdominal, febre alta",URGENTE,2
"dolor de pele na região do quadril, inchaço",MODERADO,1
"dor na cabeça moderada, dor na garganta",MODERADO,1
"dor de dente leve, sem inchaço na face ou dor intensa",LEVE,0
"convulsão ativa, tontura grave",URGENTE,2
"falta de ar severa em repouso, lábios azulados, incapaz de falar frases completas",URGENTE,2
"um leve espirro, talvez um resfriado",LEVE,0
paciente relata dor torácica e sudorese,URGENTE,2
dor muscular leve após exercício leve,LEVE,0
"dor localizada no braço, com algumas dificuldades na mão",MODERADO,1
coceira leve em algumas partes da pele,LEVE,0
"dor na garganta intensa, tosse seca",MODERADO,1
"dor intensa no lado esquerdo abdomen, sem rigidez",MODERADO,1
"dor no peito superior, leve febre, sensação de pressão",MODERADO,1
"sintomas: dor intensa no peito, sudorese fria",URGENTE,2
convulsão incontrollável e alteração de consciência,URGENTE,2
"dor abdominal, nausea",MODERADO,1
"AVC grave, hemiparesia, falta de coordenação",URGENTE,2
"dor leve no cotovelo, dificuldade na mobilidade",LEVE,0
"dor ligeira na garganta, dificuldade na deglutição",LEVE,0
"dor de cabeça intensa, pressão no olho",MODERADO,1
leve sensação de arqueação nas costas,LEVE,0
"leve dores no pescoço, sem dificuldade de movimentação",LEVE,0
"sangramento nasal intenso, ficando cansado de respirar",URGENTE,2
"dor no olho esquerdo, inchaço moderado",MODERADO,1
azia leve após refeição moderada,LEVE,0
"choque, baixo pressão sanguínea, dor intensa",URGENTE,2
"dor abdominal intenso, não consegue ficar deitado",URGENTE,2
tosse leve que começou ontem,LEVE,0
um leve espirro e coriza juntos,LEVE,0
"bebê não respira: coloração arroxeada, ausência de respiração",URGENTE,2
"dor moderada na perna, inchaço leve",MODERADO,1
"dor moderada na região lombar, com dificuldade em andar",MODERADO,1
"reação alérgica moderada: urticária, sem inchaço na garganta",MODERADO,1
"sangramento nasal intenso, confusão",URGENTE,2
"febre moderada, dor no pescoço e garganta",MODERADO,1
"dor na perna, inchaço leve",MODERADO,1
"calafrios em pele, sem febre",LEVE,0
suicídio tentado com ingestão de medicamentos,URGENTE,2
"visão dupla, um olho inflamado, dor no nariz",MODERADO,1
cansaço após esforço físico moderado dois dias atrás,LEVE,0
"infecção urinária, dor ao urinar e febre baixa",MODERADO,1
"coceira leve na pele, sem inchaço",LEVE,0
"tosse leve há alguns dias, sem febre ou dor",LEVE,0
"sangramento intenso após ferimento, não controlado com pressão",URGENTE,2
"tosse leve, leve coceira no peito",LEVE,0
corte profundo que não para de sangrar após 7 minutos,MODERADO,1
um leve coceira na face,LEVE,0
"sudorese intensa, dor abdominal, queimaduras em face/vias aéreas",URGENTE,2
"dor de cabeça leve, sem rigidez ou febre",LEVE,0
"sensação de falta de ar, não relacionada à dor no peito",MODERADO,1
"dor moderada na boca, sem dificuldade para comer",MODERADO,1
"dor aguda no peito, choque após traumatismo, sudorese profusa",URGENTE,2
"torção no tornozelo, inchaço importante, dificuldade para apoiar o pé",MODERADO,1
"dor intensa no braço, dificuldade de movimentar",MODERADO,1
"dor no couro cabelo, dificuldade em abrir os olhos",MODERADO,1
cansaço leve após longa jornada de trabalho,LEVE,0
dor de dente leve e intermitente,LEVE,0
"bebê não respira, coloração arroxeada",URGENTE,2
"dor de garganta leve, sem febre, sem dificuldade respiratória",LEVE,0
"febre de 38°C há 16 horas, dor de garganta leve",MODERADO,1
"pequena dor no dente, sem inchaço",LEVE,0
cansaço após um dia de esforço físico,LEVE,0
"dor intestinal moderada, febre baixa",MODERADO,1
trauma craniano com perda de consciência e vômitos em jato,URGENTE,2
"dor no pescoço, falta de ar",MODERADO,1
sangramento intenso após acidente doméstico,URGENTE,2
um leve espirro e dor de garganta,LEVE,0
"um pequeno corte na mão, sangramento já controlado",LEVE,0
"corte profundo no dedo, não para de sangrar após 15 minutos",MODERADO,1
cansaço leve após uma noite de pouco sono,LEVE,0
tosse leve há três dias,LEVE,0
"dor na região do ombro e cotovelo, sem inchaço",MODERADO,1
"sangramento profuso após acidente, não controlado",URGENTE,2
"cansaço intensificado, febre leve",MODERADO,1
"dor localizada no quadríceps, dificuldade em andar",MODERADO,1
"dor de garganta leve, sem secreção",LEVE,0
torção no tornozelo com dor intensa,MODERADO,1
"hemorragia interna, sangramento intenso",URGENTE,2
dor nas costas com dificuldade de respirar,MODERADO,1
"pequeno corte superficial, sangramento já controlado",LEVE,0
"vômitos repetidos há 4 horas, levemente sangrantes",MODERADO,1
"dor no pescoço moderada, dificuldade para girar a cabeça",MODERADO,1
"coriza e espirros, provável resfriado comum",LEVE,0
paciente relata dores musculares leves em várias partes do corpo,LEVE,0
"febre de 38ºC há 8 horas, dor de cabeça moderada",MODERADO,1
"leve irritação nos olhos, sem vermelhidão",LEVE,0
"dor intensa no peito: irradiação braço esquerdo, sudorese fria",URGENTE,2
trauma craniano grave: perda de consciência e vômitos em jato,URGENTE,2
inchaço leve nas mãos,LEVE,0
tentativa de suicídio com ingestão de medicamentos,URGENTE,2
louvor leve de espirros no nariz,LEVE,0
"tosse leve há três dias, sem febre",LEVE,0
"dor de cabeça leve, com inchaço mínimo",LEVE,0
"franctura de coluna, dor intensa",URGENTE,2
"choque hipovolêmico: baixa pressão, perda de consciência",URGENTE,2
"dor nas costas, dificuldade em respirar",MODERADO,1
"trauma craniano: vômito em jato, perda de consciência",URGENTE,2
inchaço moderado nas mãos e pés,MODERADO,1
leve aflição na garganta,LEVE,0
"cabeça confusa, dor moderada no peito",MODERADO,1
leve dificuldade para empurrar os olhos,LEVE,0
"dor lombar intensa que irradia para o quadril, formigamento",MODERADO,1
dor leve na espinha,LEVE,0
"coceira leve na pele, sem inchaço, sem dificuldade respiratória",LEVE,0
"dor persistente nas costas, queixa de falta de apetite, leve febre",MODERADO,1
"tontura ao caminhar, pressão baixa, sem desmaio",MODERADO,1
"tosse leve, mucosidade nasal",LEVE,0
dor leve de garganta,LEVE,0
"tontura ao levantar, dificuldade para andar",MODERADO,1
"grave reação alérgica: inchaço garganta, dificuldade respirar",URGENTE,2
dor no peito associada a taquicardia,URGENTE,2
"dificuldade respirar em repouso: lábios azulados, falta de ar severa",URGENTE,2
sensação de cansaço constante,LEVE,0
"mal estar generalizado, dificuldade em engolir",MODERADO,1
"pequeno couro na pele, sem inchaço",LEVE,0
"convulsões ativas persistentes, não se consegue controlar",URGENTE,2
"dor no peito do corpo, com sensação de suor",MODERADO,1
dor moderada no joelho esquerdo e inchaço,MODERADO,1
"dolor de garganta leve, sem febre ou dificuldade respiratória",LEVE,0
"dor intensa no peito, irradiação para o ombro direito",URGENTE,2
"coceira leve em punhos e pés, sem inchaço",LEVE,0
dolor de pele leve após exposição ao sol,LEVE,0
"sintomas de AVC: fraqueza nas pernas, falta de equilíbrio",URGENTE,2
"pequena dificuldade na visão, sem dor",LEVE,0
um leve espirro e cansaço após um longo dia,LEVE,0
"dor intensa no peito, sudorese fria, irradiação para braço esquerdo",URGENTE,2
avc: fraqueza súbita no lado esquerdo do corpo,URGENTE,2
"dor aguda no peito, dificuldade em andar, sudorese profusa",URGENTE,2
"choque, pálido, frío e frio",URGENTE,2
"parada cardíaca: corpo inerte, não batendo",URGENTE,2
"tontura no corpo, sem desmaios",MODERADO,1
choque com perda de sangue profuso,URGENTE,2
infecção no ureter com febre baixa e dor ao urinar,MODERADO,1
"um leve calor na perna, sem dor",LEVE,0
dor moderada na região lombar,MODERADO,1
"dor no abdômen moderada, sem rigidez",MODERADO,1
"dor intensa no quadril, dor moderada ao andar",MODERADO,1
cansaço leve após longo estudo,LEVE,0
"dor no pé direito, inchaço moderado na perna, caminhada instável",MODERADO,1
"paciente relata dificuldade de respirar, lábios azulados",URGENTE,2
"dor no peito, tosse secas",MODERADO,1
"dor abdominal em punhalada com abdome rígido, queda de pressão",URGENTE,2
um leve espirro na manhã,LEVE,0
dificuldade de manter a postura ereta,URGENTE,2
choque gravíssimo com sudorese profusa,URGENTE,2
azia leve após refeição gordurosa,LEVE,0
"alta pressão arterial, com dor na cabeça e visão borrada",URGENTE,2
dificuldade de respirar com inchaço das mãos e pés,URGENTE,2
"trauma craniano, perda de consciência",URGENTE,2
um leve cansaço e dor de cabeça,LEVE,0
irritação nos olhos após ficar ao ar livre,LEVE,0
"dor no braço esquerdo, queixa de fraco pulso, dificuldade em mover",MODERADO,1
"torção no tornozelo direito com inchaço importante, dificuldade para apoiar o pé",MODERADO,1
"dor nas costas moderada, dificuldade de respirar",MODERADO,1
"paciente apresenta queimaduras graves, não consegue respirar",URGENTE,2
"sudorese fria, pálido, sensação de palpitar forte",URGENTE,2
"dor de cabeça leve, mais intensa ao lado esquerdo",LEVE,0
dor no peito e falta de ar,URGENTE,2
"dor no peito e falta de ar, suando muito",URGENTE,2
falta de ar e dor no peito,URGENTE,2
dor no peito súbita,URGENTE,2
falta de ar de repente,URGENTE,2
"dor no peito, não consigo respirar",URGENTE,2
aperto no peito e falta de ar,URGENTE,2
dor no peito com suor frio,URGENTE,2
pressão no peito e falta de ar,URGENTE,2
dor no peito ao respirar,URGENTE,2
falta de ar intensa e dor no peito,URGENTE,2
peito doendo e sem conseguir respirar,URGENTE,2
dor no peito e tontura,URGENTE,2
falta de ar e tontura súbita,URGENTE,2
dor no peito e braço esquerdo dormindo,URGENTE,2
aperto no peito e suor frio,URGENTE,2
dor no peito que não passa,URGENTE,2
falta de ar mesmo em repouso,URGENTE,2
dor no peito e náusea,URGENTE,2
falta de ar e coração acelerado,URGENTE,2
